tool,formula,variables,formula_id,output,time
all,(G(G!p3|!p2)&G(p3|!p1)&((p2&p1)WF(G!p1&p0))&G(p3|!p0|Fp1)),#p#q#r#s,28,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](q)) && ([](r)))) || (<>(((p) && ([](!q)))))))),#p#q#r#s,28,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(q)) & (G(r)))) | (F(((p) & (G(!q)))))))),#p#q#r#s,28,SAT,0.02
all,(G(G!p3|!p2)&(F(Gp0&G!p1)|F(p3&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,29,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((r) && (s)))) || (<>((([](p)) && ([](!q)))))))),#p#q#r#s,29,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((r) & (s)))) | (F(((G(p)) & (G(!q)))))))),#p#q#r#s,29,SAT,0.02
all,G(p3|!p1),#p#q#r#s,30,SAT,no-time
SPIN_v651,[](((!q) || (s))),#p#q#r#s,30,SAT,0.02
NUSMV_v260,G(((!q) | (s))),#p#q#r#s,30,SAT,0.02
all,(G(Fp1|!p0)&G(G(!p3|p2)|!p2)),#p#q#r#s,31,SAT,no-time
SPIN_v651,(([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,31,SAT,0.02
NUSMV_v260,((G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,31,SAT,0.02
all,(G(Fp1|!p0)&G(p3|!p1)&G(G(!p3|p2)|!p2)),#p#q#r#s,32,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,32,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,32,SAT,0.02
